pickup_date,pickup_day_of_week,pickup_hour,dropoff_date,dropoff_day_of_week,dropoff_hour,passenger_count,trip_distance,RatecodeID,pickup_location,dropoff_location,total_amount
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.51,1,UN/Turtle Bay South,Penn Station/Madison Sq West,15.96
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.6,1,Penn Station/Madison Sq West,Garment District,8.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.64,1,SoHo,Union Sq,15.99
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,1.4,1,Midtown Center,Gramercy,11.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.31,1,Clinton East,Upper East Side South,11.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.65,1,Central Park,Upper West Side South,11.0
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,2.8,1,TriBeCa/Civic Center,West Chelsea/Hudson Yards,17.76
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,0.62,1,North Corona,Elmhurst,7.8
2019-06-15,Saturday,21,2019-06-15,Saturday,22,2,23.88,1,JFK Airport,Sunset Park West,71.3
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,1.5,1,Hudson Sq,Midtown South,14.75
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.3,1,Union Sq,Murray Hill,12.96
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,1.01,1,Penn Station/Madison Sq West,Murray Hill,9.8
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,11.29,1,JFK Airport,Bushwick South,44.3
2019-06-15,Saturday,21,2019-06-15,Saturday,22,2,3.35,1,Williamsburg (North Side),Crown Heights North,15.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,1.8,1,Kips Bay,Lenox Hill West,13.56
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,2.5,1,Upper East Side North,Central Harlem,17.15
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.9,1,East Village,Stuy Town/Peter Cooper Village,12.25
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,1.85,1,East Village,UN/Turtle Bay South,12.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,3,1.91,1,Clinton East,West Chelsea/Hudson Yards,13.3
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,3.64,1,Meatpacking/West Village West,Midtown East,21.96
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.27,1,Clinton East,Times Sq/Theatre District,11.16
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,0.7,1,Lincoln Square East,Upper West Side South,11.0
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.94,1,West Village,East Village,12.88
2019-06-15,Saturday,21,2019-06-15,Saturday,21,5,0.47,1,Upper East Side North,East Harlem South,7.3
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.07,1,Upper East Side North,Lenox Hill West,9.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,3,1.4,1,Gramercy,Garment District,12.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,1.04,1,Meatpacking/West Village West,West Village,10.8
2019-06-15,Saturday,21,2019-06-15,Saturday,22,5,6.26,1,Midtown Center,Brooklyn Heights,31.62
2019-06-15,Saturday,21,2019-06-15,Saturday,21,6,1.5,1,Murray Hill,Flatiron,14.72
2019-06-15,Saturday,21,2019-06-15,Saturday,22,2,2.7,1,Penn Station/Madison Sq West,Upper West Side South,21.36
2019-06-15,Saturday,21,2019-06-15,Saturday,21,3,1.9,1,Lincoln Square East,Midtown South,14.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,1,0.86,1,Flatiron,Kips Bay,10.8
2019-06-15,Saturday,21,2019-06-15,Saturday,22,0,5.0,1,Little Italy/NoLiTa,Upper East Side North,22.8
2019-06-15,Saturday,21,2019-06-15,Saturday,22,1,1.19,1,Midtown North,UN/Turtle Bay South,12.8
2019-06-15,Saturday,21,2019-06-15,Saturday,21,2,1.16,1,Yorkville West,Lenox Hill East,11.3
